m VC d nu ps
5 100 0.5 50 50

id 	x 	y 	HC 	D 	IC 	R
0	10 	10	0	0   	0	0
1	7 	7	25	19.6 	6.28	134.846
2	7 	19	25	26.0 	14.57	211.643
3	14 	8	25	14.5 	10.49	144.687
4	14 	13	25	19.1 	3.85	116.424
5	16 	15	25	11.2 	6.39	118.53
6	7 	11	25	16.0 	4.83	115.975
7	14 	1	25	28.5 	11.58	201.665
8	4 	5	25	26.1 	10.3	182.819
9	13 	3	25	19.8 	10.46	166.232
10	5 	6	25	15.8 	3.33	107.485
11	1 	6	25	14.9 	7.07	135.686
12	23 	7	25	11.7 	3.85	108.772
13	14 	10	25	19.6 	10.41	158.785
14	19 	5	25	18.4 	9.44	160.731
15	26 	7	25	27.8 	4.7	153.86
