m VC d nu ps
5 100 1 50 80

id 	x 	y 	C 	D 	IC 	R
0	50	50	0	0	0	0
1	32.0	58.0	10.0	10.0	0.125	91.1125414734884
2	30.0	67.0	10.0	2.0	0.125	85.59006346073102
3	35.0	53.0	10.0	17.0	0.125	93.1509999036
4	25.0	58.0	10.0	13.0	0.125	94.3746904687
5	36.0	57.0	10.0	26.0	0.125	96.9892874368
6	69.0	73.0	10.0	29.0	0.125	106.4530633124
7	61.0	86.0	10.0	17.0	0.125	100.7486405513
8	77.0	76.0	10.0	30.0	0.125	111.739997775
9	79.0	89.0	10.0	1.0	0.125	85.17689151518553
10	65.0	87.0	10.0	1.0	0.125	84.739458278907
11	42.0	58.0	10.0	17.0	0.125	91.77567502130982
12	35.0	52.0	10.0	5.0	0.125	87.09449539255613
13	53.0	44.0	10.0	7.0	0.125	86.40146184515693
14	53.0	59.0	10.0	11.0	0.125	88.92622996510845
15	46.0	52.0	10.0	6.0	0.125	85.33070425459901
16	19.0	84.0	10.0	26.0	0.125	112.7756515056
17	32.0	80.0	10.0	22.0	0.125	103.84371300059999
18	26.0	89.0	10.0	10.0	0.125	96.408602513
19	34.0	88.0	10.0	19.0	0.125	103.81780137690001
20	34.0	87.0	10.0	3.0	0.125	88.24420603272384
