m VC d nu ps
5 100 1 50 80

id 	x 	y 	HC 	D 	IC 	R
0	50	50	0	0	0	0
1	53.0	74.0	10.0	30.0	0.125	103.762063944
2	49.0	72.0	10.0	8.0	0.125	90.39667553499675
3	55.0	73.0	10.0	9.0	0.125	91.33214104461288
4	51.0	78.0	10.0	10.0	0.125	92.85357029
5	65.0	71.0	10.0	2.0	0.125	85.5504032105785
6	53.0	64.0	10.0	11.0	0.125	90.30766781721258
7	61.0	72.0	10.0	18.0	0.125	96.90482919
8	71.0	79.0	10.0	26.0	0.125	107.468614339
9	59.0	67.0	10.0	18.0	0.125	94.9747382616
10	54.0	68.0	10.0	15.0	0.125	93.28172667300001
11	73.0	51.0	10.0	2.0	0.125	85.29355540870218
12	65.0	38.0	10.0	19.0	0.125	95.4495616298
13	69.0	54.0	10.0	17.0	0.125	94.5516058639
14	70.0	52.0	10.0	2.0	0.125	85.00996519349187
15	56.0	46.0	10.0	16.0	0.125	89.8837654970158
16	75.0	91.0	10.0	1.0	0.125	85.1488265075646
17	67.0	74.0	10.0	16.0	0.125	97.2614823472
18	76.0	87.0	10.0	23.0	0.125	109.3519710589
19	85.0	92.0	10.0	6.0	0.125	93.4106097276
20	85.0	89.0	10.0	15.0	0.125	103.4706870075
