m VC d nu ps
5 60 1 75 50

id 	x 	y 	HC 	D 	IC 	R
0	77	77	0	0	0	0
1	28.0	124.0	10.0	3.4	0.8	78.16237118769654
2	104.0	72.0	10.0	5.0	0.8	72.78914142656541
3	77.0	104.0	10.0	1.0	0.8	60.119288512538816
4	72.0	81.0	10.0	3.0	0.8	60.46279086362716
5	83.0	80.0	10.0	4.6	0.8	63.12801438817006
6	89.0	139.0	10.0	5.8	0.8	85.56508665317716
7	79.0	62.0	10.0	4.2	0.8	66.44944088922173
8	36.0	64.0	10.0	6.6	0.8	81.84345377220254
9	143.0	95.0	10.0	1.0	0.8	65.32689406239895
10	14.0	77.0	10.0	3.2	0.8	76.38787600395304
11	84.0	30.0	10.0	7.0	0.8	84.29887099448027
12	120.0	117.0	10.0	4.2	0.8	79.26613809838258
13	68.0	26.0	10.0	1.8	0.8	68.08587984920834
14	40.0	57.0	10.0	2.6	0.8	69.78724052510607
15	63.0	85.0	10.0	5.2	0.8	68.74865162605568
16	83.0	78.0	10.0	7.6	0.8	66.41745366156397
17	79.0	44.0	10.0	2.6	0.8	67.79504931778499
18	82.0	116.0	10.0	9.0	0.8	85.72664478049961
19	119.0	134.0	10.0	2.2	0.8	73.100863575477
20	119.0	87.0	10.0	5.0	0.8	77.7630160558971
21	78.0	77.0	10.0	5.8	0.8	60.55272476441985
22	105.0	14.0	10.0	5.4	0.8	85.74517925004153
23	109.0	48.0	10.0	6.6	0.8	81.90111030040177
24	88.0	80.0	10.0	2.4	0.8	61.22343408409387
25	75.0	75.0	10.0	2.4	0.8	57.75385841253244
26	14.0	110.0	10.0	0.2	0.8	56.97972458092725
27	111.0	11.0	10.0	9.4	0.8	98.82942469381666
28	66.0	57.0	10.0	0.8	0.8	58.439969579471246
29	85.0	63.0	10.0	8.8	0.8	74.3898822520487
30	36.0	30.0	10.0	5.2	0.8	83.48185397327931
31	68.0	75.0	10.0	8.8	0.8	70.01055651032225
32	85.0	92.0	10.0	0.2	0.8	53.75233260743234
33	124.0	52.0	10.0	8.0	0.8	88.6111947654563
34	31.0	90.0	10.0	8.2	0.8	87.22251892955123
35	81.0	67.0	10.0	7.6	0.8	69.58403472513261
36	44.0	24.0	10.0	7.0	0.8	88.86541931558182
37	132.0	57.0	10.0	10.0	0.8	95.08605089736736
38	96.0	50.0	10.0	9.6	0.8	84.17345969660082
39	75.0	59.0	10.0	6.2	0.8	71.41302599484716
40	49.0	127.0	10.0	2.2	0.8	70.94362942991495
41	73.0	94.0	10.0	6.6	0.8	71.78175711336439
42	59.0	68.0	10.0	4.0	0.8	67.9330708723297
43	69.0	101.0	10.0	5.6	0.8	73.30116145706046
44	76.0	67.0	10.0	8.6	0.8	70.35123035745997
45	81.0	80.0	10.0	8.2	0.8	66.19876538100358
46	76.0	78.0	10.0	2.8	0.8	57.58098631429974
47	103.0	7.0	10.0	9.4	0.8	98.96408722556666
48	82.0	71.0	10.0	0.4	0.8	54.04933569623463
49	78.0	135.0	10.0	8.6	0.8	91.64129229151277
50	53.0	24.0	10.0	4.2	0.8	79.14016674571373
51	104.0	88.0	10.0	2.4	0.8	66.19594247794181
