m VC d nu ps
5 120 1 75 50

id 	x 	y 	HC 	D 	IC 	R
0	83	83	0	0	0	0
1	17.0	112.0	10.0	0.2	0.8	57.02408297217509
2	113.0	62.0	10.0	2.0	0.8	66.3207189733786
3	29.0	102.0	10.0	2.4	0.8	71.86417775954084
4	110.0	81.0	10.0	2.6	0.8	66.33571097922585
5	91.0	81.0	10.0	1.6	0.8	58.2353264408401
6	164.0	90.0	10.0	0.6	0.8	62.87243801560528
7	99.0	108.0	10.0	1.4	0.8	62.46490135598353
8	68.0	25.0	10.0	9.0	0.8	93.23607267354426
9	54.0	63.0	10.0	5.8	0.8	77.3245040758364
10	31.0	106.0	10.0	1.8	0.8	68.87619085434346
11	100.0	76.0	10.0	1.8	0.8	61.605874010413864
12	73.0	44.0	10.0	2.8	0.8	70.13813131167835
13	69.0	82.0	10.0	1.2	0.8	58.549676507003056
14	108.0	52.0	10.0	0.6	0.8	59.27702871372079
15	82.0	83.0	10.0	6.6	0.8	61.256997821231025
16	107.0	121.0	10.0	8.2	0.8	86.20139943641958
17	76.0	41.0	10.0	0.6	0.8	59.55784119993631
18	98.0	92.0	10.0	3.8	0.8	66.53823222229026
19	85.0	81.0	10.0	7.6	0.8	63.79809217096334
20	135.0	19.0	10.0	10.0	0.8	102.90356887923537
21	5.0	71.0	10.0	1.0	0.8	66.38708551268346
22	54.0	27.0	10.0	9.6	0.8	95.7264638269613
23	89.0	74.0	10.0	2.2	0.8	60.552215072106904
24	120.0	74.0	10.0	2.0	0.8	66.60435904694909
25	104.0	77.0	10.0	5.2	0.8	71.13345891197179
26	64.0	144.0	10.0	5.8	0.8	85.7576322253921
27	153.0	122.0	10.0	5.2	0.8	87.63751069456109
28	78.0	58.0	10.0	5.8	0.8	73.7905235504896
29	96.0	57.0	10.0	2.0	0.8	64.76620654332046
30	67.0	80.0	10.0	3.8	0.8	66.08572219001684
31	58.0	69.0	10.0	1.2	0.8	61.36784476628706
32	68.0	91.0	10.0	7.2	0.8	72.51399564459405
33	105.0	42.0	10.0	7.8	0.8	85.86332151227491
34	83.0	69.0	10.0	9.4	0.8	73.90648447282871
35	46.0	103.0	10.0	4.0	0.8	74.54305126784362
36	37.0	129.0	10.0	2.0	0.8	71.1741463283883
37	148.0	33.0	10.0	3.6	0.8	81.65928365061977
38	14.0	83.0	10.0	0.2	0.8	56.8818602136341
39	88.0	88.0	10.0	3.6	0.8	61.79231534273062
40	63.0	63.0	10.0	5.0	0.8	73.07700890323527
41	62.0	149.0	10.0	2.2	0.8	72.86466844481241
42	83.0	159.0	10.0	4.4	0.8	83.77099347020754
43	45.0	28.0	10.0	2.6	0.8	74.44988389927445
44	85.0	82.0	10.0	9.2	0.8	64.59554182059713
45	59.0	86.0	10.0	6.4	0.8	74.44882647503556
46	45.0	69.0	10.0	5.4	0.8	78.03902039204651
47	94.0	59.0	10.0	1.6	0.8	62.679585115736245
48	83.0	84.0	10.0	1.6	0.8	55.54256258306571
49	93.0	60.0	10.0	6.4	0.8	74.82006822720679
50	83.0	83.0	10.0	9.4	0.8	62.26376777340471
51	48.0	34.0	10.0	6.6	0.8	87.11290567088489
52	38.0	42.0	10.0	2.6	0.8	73.4114505352915
53	72.0	70.0	10.0	6.6	0.8	71.56990124973223
54	111.0	126.0	10.0	9.6	0.8	91.59240537690505
55	60.0	32.0	10.0	8.6	0.8	90.95418181687432
56	83.0	72.0	10.0	7.8	0.8	69.98399359175238
57	141.0	56.0	10.0	7.0	0.8	89.30744081824713
58	83.0	98.0	10.0	3.8	0.8	65.59487095169435
59	17.0	60.0	10.0	0.2	0.8	56.92324894909897
60	145.0	39.0	10.0	5.4	0.8	87.4183732678373
61	79.0	32.0	10.0	7.2	0.8	85.97010670716449
62	94.0	70.0	10.0	8.2	0.8	74.04269323695662
