    Depth             TC   Leaf             UB             LB       Gap
0       0  126155.000000  False  134875.000000  126155.000000  6.912132
1       1  126160.000000  False  134875.000000  126160.000000  6.907895
2       2  132375.000000   True  132375.000000  126160.000000  4.926284
3       2  126160.000000  False  132375.000000  126160.000000  4.926284
4       3  127400.000000   True  127400.000000  126160.000000  0.982879
5       3  126160.000000  False  127400.000000  126160.000000  0.982879
6       4            NaN   True  127400.000000  126160.000000  0.982879
7       4  126163.750000  False  127400.000000  126163.750000  0.979877
8       5  127400.000000   True  127400.000000  126163.750000  0.979877
9       5  126167.500000  False  127400.000000  126167.500000  0.976876
10      6  127400.000000   True  127400.000000  126167.500000  0.976876
11      6  127395.000000   True  127395.000000  126167.500000  0.972913
12      1  126159.166646  False  127395.000000  126167.500000  0.972913
13      2  126166.666667  False  127395.000000  126167.500000  0.972913
14      3            NaN   True  127395.000000  126167.500000  0.972913
15      3  126166.666667  False  127395.000000  126167.500000  0.972913
16      4            NaN   True  127395.000000  126167.500000  0.972913
17      4  126166.666667  False  127395.000000  126167.500000  0.972913
18      5            NaN   True  127395.000000  126167.500000  0.972913
19      5  126168.750000  False  127395.000000  126168.750000  0.971913
20      6  129900.000000   True  127395.000000  126168.750000  0.971913
21      6  127400.000000   True  127395.000000  126168.750000  0.971913
22      2  126159.166646  False  127395.000000  126168.750000  0.971913
23      3  126168.333333  False  127395.000000  126168.750000  0.971913
24      4            NaN   True  127395.000000  126168.750000  0.971913
25      4  126168.333333  False  127395.000000  126168.750000  0.971913
26      5            NaN   True  127395.000000  126168.750000  0.971913
27      5  126164.166667  False  127395.000000  126168.750000  0.971913
28      6            NaN   True  127395.000000  126168.750000  0.971913
29      6  126170.000000  False  127395.000000  126170.000000  0.970912
30      7  129900.000000   True  127395.000000  126170.000000  0.970912
31      7  126175.833333  False  127395.000000  126175.833333  0.966244
32      8  132398.333333   True  127395.000000  126175.833333  0.966244
33      8  127400.000000   True  127395.000000  126175.833333  0.966244
34      3  126159.165983  False  127395.000000  126175.833333  0.966244
35      4  126166.666438  False  127395.000000  126175.833333  0.966244
36      5            NaN   True  127395.000000  126175.833333  0.966244
37      5  126166.666438  False  127395.000000  126175.833333  0.966244
38      6            NaN   True  127395.000000  126175.833333  0.966244
39      6  126166.666438  False  127395.000000  126175.833333  0.966244
40      7  127399.999959   True  127395.000000  126175.833333  0.966244
41      7  126168.749782  False  127395.000000  126175.833333  0.966244
42      8  127399.999959   True  127395.000000  126175.833333  0.966244
43      8  127408.333333   True  127395.000000  126175.833333  0.966244
44      4  126159.165831  False  127395.000000  126175.833333  0.966244
45      5  127408.333130   True  127395.000000  126175.833333  0.966244
46      5  126159.165835  False  127395.000000  126175.833333  0.966244
47      6  127408.333139   True  127395.000000  126175.833333  0.966244
48      6  126159.999284  False  127395.000000  126175.833333  0.966244
49      7  127399.999989   True  127395.000000  126175.833333  0.966244
50      7  127392.499872  False  127395.000000  127392.499872  0.001963
51      8  127399.999990   True  127395.000000  127392.499872  0.001963
52      8  127392.499841  False  127395.000000  127392.499872  0.001963
53      9  127394.999849   True  127394.999849  127392.499872  0.001962
54      9  127392.499077  False  127394.999849  127392.499872  0.001962
55     10  127399.999994   True  127394.999849  127392.499872  0.001962
56     10  127393.331523   True  127393.331523  127392.499872  0.000653

Optimal solution found
Min total cost: 127393.33152257098
Solution: [(44, 1.0), (48, 1.0), (50, 1.0), (69, 1.0)]
[0, 8, 3, 4, 0] 3.9999999990555453 41199.99999060267
[0, 10, 5, 0] 2.9999999753672655 23733.333150503706
[0, 9, 2, 1, 0] 4.9999999935674575 38759.999952090424
[0, 7, 6, 0] 2.999999788705047 23699.998429374184
